miRNA	Precursor	63aNF	65NF	53TF	63bTF	59TF	64NF	46TF	50NF	55TF	44TF	57NF	55NF	53NF	50TF	64TF	39TF	59NF	63aTF	39NF	63bNF	46NF	65TF	44NF	57TF
hsa-miR-4649-5p	hsa-mir-4649	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0
hsa-miR-4649-3p	hsa-mir-4649	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	2	0	0	1	0	1	1	0	3
hsa-miR-4650-5p	hsa-mir-4650-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4650-3p	hsa-mir-4650-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4650-5p	hsa-mir-4650-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4650-3p	hsa-mir-4650-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4651	hsa-mir-4651	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4652-5p	hsa-mir-4652	0	0	0	0	2	0	1	0	1	0	0	1	0	0	4	0	0	0	0	1	0	10	0	17
hsa-miR-4652-3p	hsa-mir-4652	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4653-5p	hsa-mir-4653	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4653-3p	hsa-mir-4653	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4654	hsa-mir-4654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-5p	hsa-mir-4655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-3p	hsa-mir-4655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4656	hsa-mir-4656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4657	hsa-mir-4657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4658	hsa-mir-4658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-4659a-5p	hsa-mir-4659a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4659a-3p	hsa-mir-4659a	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
hsa-miR-4659b-5p	hsa-mir-4659b	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659b-3p	hsa-mir-4659b	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1
hsa-miR-466	hsa-mir-466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4660	hsa-mir-4660	1	2	0	0	0	0	0	2	2	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0
hsa-miR-4661-5p	hsa-mir-4661	1	6	5	7	0	2	1	2	8	3	11	10	7	7	3	9	7	1	8	5	6	11	1	15
hsa-miR-4661-3p	hsa-mir-4661	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-4662a-5p	hsa-mir-4662a	29	185	45	120	56	95	37	87	13	67	244	88	198	79	32	52	106	3	82	338	160	61	46	460
hsa-miR-4662a-3p	hsa-mir-4662a	0	4	0	2	1	0	0	1	1	2	2	1	4	1	0	1	8	0	3	4	4	2	0	7
hsa-miR-4662b	hsa-mir-4662b	0	3	0	1	1	0	1	1	1	1	1	1	2	0	0	0	1	0	3	3	1	0	1	7
hsa-miR-4663	hsa-mir-4663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4664-5p	hsa-mir-4664	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3
hsa-miR-4664-3p	hsa-mir-4664	1	0	0	3	1	1	0	0	2	0	2	1	0	1	0	0	0	0	1	1	0	1	0	3
hsa-miR-4665-5p	hsa-mir-4665	0	1	1	0	2	0	2	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4665-3p	hsa-mir-4665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4666a-5p	hsa-mir-4666a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4666a-3p	hsa-mir-4666a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4666b	hsa-mir-4666b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4667-5p	hsa-mir-4667	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
hsa-miR-4667-3p	hsa-mir-4667	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4668-5p	hsa-mir-4668	2	6	2	2	1	0	0	2	2	1	2	4	4	1	1	5	2	0	5	3	0	1	1	3
hsa-miR-4668-3p	hsa-mir-4668	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4669	hsa-mir-4669	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-5p	hsa-mir-4670	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-4670-3p	hsa-mir-4670	0	2	3	2	2	1	0	0	0	0	3	2	1	0	0	1	2	0	0	1	1	1	0	0
hsa-miR-4671-5p	hsa-mir-4671	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	3	0	0	1	1	2	3	0	3
hsa-miR-4671-3p	hsa-mir-4671	0	1	0	0	1	2	0	0	4	0	3	2	1	0	1	5	1	0	0	1	0	8	0	2
hsa-miR-4672	hsa-mir-4672	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4673	hsa-mir-4673	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-4674	hsa-mir-4674	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4675	hsa-mir-4675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-5p	hsa-mir-4676	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-3p	hsa-mir-4676	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	3	0	0	0	1	0	3	0	1
hsa-miR-4677-5p	hsa-mir-4677	2	0	1	5	1	1	0	1	2	0	2	1	0	1	5	2	1	0	0	1	0	7	0	4
hsa-miR-4677-3p	hsa-mir-4677	19	46	27	67	29	50	4	10	123	36	37	26	36	53	51	66	39	4	18	20	27	114	13	122
hsa-miR-4678	hsa-mir-4678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4679	hsa-mir-4679-1	3	2	0	0	1	6	0	1	2	0	5	1	0	0	0	1	5	0	2	0	0	1	0	0
hsa-miR-4679	hsa-mir-4679-2	3	2	0	0	1	6	0	1	2	0	5	1	0	0	0	1	5	0	2	0	0	1	0	0
hsa-miR-4680-5p	hsa-mir-4680	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4680-3p	hsa-mir-4680	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4681	hsa-mir-4681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4682	hsa-mir-4682	0	1	1	0	1	0	0	1	2	0	0	1	2	0	0	0	3	1	0	1	2	1	0	0
hsa-miR-4683	hsa-mir-4683	0	3	0	2	0	1	0	0	1	0	1	2	2	0	0	1	4	0	1	0	1	0	0	1
hsa-miR-4684-5p	hsa-mir-4684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-3p	hsa-mir-4684	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4685-5p	hsa-mir-4685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4685-3p	hsa-mir-4685	1	5	4	9	6	8	0	5	18	8	4	13	10	4	13	12	5	0	5	4	5	3	2	12
hsa-miR-4686	hsa-mir-4686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4687-5p	hsa-mir-4687	0	0	4	6	3	8	0	8	6	3	2	0	3	3	3	5	2	0	5	1	1	3	3	7
hsa-miR-4687-3p	hsa-mir-4687	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0
hsa-miR-4688	hsa-mir-4688	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0
hsa-miR-4689	hsa-mir-4689	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4690-5p	hsa-mir-4690	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4690-3p	hsa-mir-4690	0	2	0	1	0	0	0	0	1	1	2	1	1	0	1	1	1	0	0	1	1	2	0	2
hsa-miR-4691-5p	hsa-mir-4691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-3p	hsa-mir-4691	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4692	hsa-mir-4692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	hsa-mir-4693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-3p	hsa-mir-4693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-5p	hsa-mir-4694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-3p	hsa-mir-4694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-5p	hsa-mir-4695	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-4695-3p	hsa-mir-4695	4	1	0	0	0	0	0	1	0	1	2	2	2	0	0	1	4	0	4	3	1	1	0	2
hsa-miR-4696	hsa-mir-4696	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4697-5p	hsa-mir-4697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4697-3p	hsa-mir-4697	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0
hsa-miR-4698	hsa-mir-4698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4699-5p	hsa-mir-4699	0	1	0	2	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1
hsa-miR-4699-3p	hsa-mir-4699	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	0	2
hsa-miR-4700-5p	hsa-mir-4700	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4700-3p	hsa-mir-4700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-5p	hsa-mir-4701	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-4701-3p	hsa-mir-4701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4703-5p	hsa-mir-4703	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4703-3p	hsa-mir-4703	1	1	0	0	0	0	0	0	6	0	4	1	5	0	0	0	2	0	1	2	4	0	0	0
hsa-miR-4704-5p	hsa-mir-4704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-3p	hsa-mir-4704	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4705	hsa-mir-4705	0	7	1	16	1	1	1	3	0	2	2	3	0	1	0	3	0	0	2	0	0	16	0	6
hsa-miR-4706	hsa-mir-4706	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-4707-5p	hsa-mir-4707	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4707-3p	hsa-mir-4707	0	0	0	6	0	0	2	2	9	1	7	1	0	6	1	0	0	0	0	1	5	1	1	21
hsa-miR-4708-5p	hsa-mir-4708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4708-3p	hsa-mir-4708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4709-5p	hsa-mir-4709	3	5	2	0	2	4	0	4	2	1	5	3	4	3	2	5	5	0	0	6	5	4	0	25
hsa-miR-4709-3p	hsa-mir-4709	1	4	2	1	0	2	0	1	2	0	1	0	7	2	0	2	1	0	3	0	1	1	0	4
hsa-miR-4710	hsa-mir-4710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-5p	hsa-mir-4711	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-3p	hsa-mir-4711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4712-5p	hsa-mir-4712	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4712-3p	hsa-mir-4712	0	0	0	1	1	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	0	2	0	1
hsa-miR-4713-5p	hsa-mir-4713	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4713-3p	hsa-mir-4713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-5p	hsa-mir-4714	1	2	0	1	0	0	0	0	0	0	2	0	2	1	0	1	3	0	1	2	0	0	0	2
hsa-miR-4714-3p	hsa-mir-4714	0	0	0	0	2	3	0	1	1	1	1	2	1	2	0	1	1	0	0	0	0	1	0	2
hsa-miR-4715-5p	hsa-mir-4715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0
hsa-miR-4715-3p	hsa-mir-4715	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4716-5p	hsa-mir-4716	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4716-3p	hsa-mir-4716	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-5p	hsa-mir-4717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-3p	hsa-mir-4717	1	0	2	1	4	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	3
hsa-miR-4718	hsa-mir-4718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4719	hsa-mir-4719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-5p	hsa-mir-4720	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-3p	hsa-mir-4720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4721	hsa-mir-4721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4722-5p	hsa-mir-4722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4722-3p	hsa-mir-4722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4723-5p	hsa-mir-4723	0	0	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-4723-3p	hsa-mir-4723	1	2	0	0	0	0	0	0	1	1	1	2	0	0	0	1	1	0	1	0	0	0	0	0
hsa-miR-4724-5p	hsa-mir-4724	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	2	0	0	2	2	0	3	0	0
hsa-miR-4724-3p	hsa-mir-4724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4725-5p	hsa-mir-4725	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0
hsa-miR-4725-3p	hsa-mir-4725	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4726-5p	hsa-mir-4726	2	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	2	0	0	0	0
hsa-miR-4726-3p	hsa-mir-4726	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4727-5p	hsa-mir-4727	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1
hsa-miR-4727-3p	hsa-mir-4727	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-4728-5p	hsa-mir-4728	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	3
hsa-miR-4728-3p	hsa-mir-4728	6	7	5	13	5	9	2	24	5	13	26	22	27	14	7	14	17	1	23	18	12	8	7	42
hsa-miR-4729	hsa-mir-4729	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-4730	hsa-mir-4730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4731-5p	hsa-mir-4731	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1
hsa-miR-4731-3p	hsa-mir-4731	0	1	3	1	1	1	1	0	3	0	1	1	0	0	1	0	0	0	0	0	0	2	1	2
hsa-miR-4732-5p	hsa-mir-4732	0	2	3	4	0	0	0	3	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0
hsa-miR-4732-3p	hsa-mir-4732	2	5	17	9	5	2	1	1	5	3	0	2	3	1	50	1	0	0	2	1	0	0	1	1
hsa-miR-4733-5p	hsa-mir-4733	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-4733-3p	hsa-mir-4733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4734	hsa-mir-4734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4735-5p	hsa-mir-4735	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4735-3p	hsa-mir-4735	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4736	hsa-mir-4736	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0
hsa-miR-4737	hsa-mir-4737	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4738-5p	hsa-mir-4738	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4738-3p	hsa-mir-4738	2	0	0	1	1	1	1	0	0	0	2	1	1	1	3	0	1	0	0	0	1	2	0	2
hsa-miR-4739	hsa-mir-4739	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4740-5p	hsa-mir-4740	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
hsa-miR-4740-3p	hsa-mir-4740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4741	hsa-mir-4741	0	1	1	0	2	1	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1
hsa-miR-4742-5p	hsa-mir-4742	1	1	0	0	0	1	0	1	1	0	1	0	2	1	2	0	0	0	1	0	0	2	0	2
hsa-miR-4742-3p	hsa-mir-4742	1	1	2	4	4	0	0	3	1	3	2	10	10	0	9	2	6	0	5	4	3	3	0	9
hsa-miR-4743-5p	hsa-mir-4743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-3p	hsa-mir-4743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-4744	hsa-mir-4744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4745-5p	hsa-mir-4745	0	0	0	2	0	0	0	0	2	0	1	0	1	0	1	0	1	0	0	1	0	1	0	2
hsa-miR-4745-3p	hsa-mir-4745	0	0	0	2	1	0	0	0	0	2	0	0	3	0	0	2	2	0	0	0	1	1	0	2
hsa-miR-4746-5p	hsa-mir-4746	2	0	2	7	3	3	0	1	11	6	2	8	1	8	9	3	1	0	1	4	1	3	1	8
hsa-miR-4746-3p	hsa-mir-4746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4747-5p	hsa-mir-4747	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4747-3p	hsa-mir-4747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4748	hsa-mir-4748	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4749-5p	hsa-mir-4749	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-4749-3p	hsa-mir-4749	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	2	1
hsa-miR-4750-5p	hsa-mir-4750	0	0	1	1	0	2	0	3	1	0	1	2	1	0	1	1	2	0	2	1	0	0	0	1
hsa-miR-4750-3p	hsa-mir-4750	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4751	hsa-mir-4751	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-4752	hsa-mir-4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4753-5p	hsa-mir-4753	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4753-3p	hsa-mir-4753	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-4754	hsa-mir-4754	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	2	0
hsa-miR-4755-5p	hsa-mir-4755	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4755-3p	hsa-mir-4755	0	0	1	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-4756-5p	hsa-mir-4756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4756-3p	hsa-mir-4756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4757-5p	hsa-mir-4757	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1
hsa-miR-4757-3p	hsa-mir-4757	0	2	3	4	1	2	1	1	3	3	5	0	1	2	1	5	0	0	2	1	2	0	1	9
hsa-miR-4758-5p	hsa-mir-4758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4758-3p	hsa-mir-4758	0	1	2	4	2	1	0	0	2	4	3	0	0	9	5	14	1	0	0	2	1	7	0	8
hsa-miR-4759	hsa-mir-4759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4760-5p	hsa-mir-4760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4760-3p	hsa-mir-4760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4761-5p	hsa-mir-4761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4761-3p	hsa-mir-4761	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0
hsa-miR-4762-5p	hsa-mir-4762	1	1	0	0	2	3	1	0	6	1	2	3	1	4	3	5	1	0	0	3	0	6	1	2
hsa-miR-4762-3p	hsa-mir-4762	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4763-5p	hsa-mir-4763	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2
hsa-miR-4763-3p	hsa-mir-4763	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4764-5p	hsa-mir-4764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4764-3p	hsa-mir-4764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4765	hsa-mir-4765	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
